,url,region,province,locality,zip_code,property_type,property_subtype,price,number_rooms,living_area,kitchen,furnished,fireplace,terrace,terrace_area,garden,garden_area,surface_land,number_facades,swimming_pool,building_state
15,https://www.immoweb.be/en/classified/new-real-estate-project-houses/for-sale/laakdal/2430/10829868,Flanders,Antwerp,Laakdal,2430,HOUSE_GROUP,HOUSE_GROUP,,,,0,,,,,,,UNKNOWN,UNKNOWN,,UNKNOWN
16,https://www.immoweb.be/en/classified/house/for-sale/uccle/1180/10829358,Brussels,Brussels,Uccle,1180,HOUSE,HOUSE,695000.0,4.0,185.0,USA_INSTALLED,False,,True,,True,240.0,308,2,False,TO_RENOVATE
17,https://www.immoweb.be/en/classified/house/for-sale/ixelles/1050/10828236,Brussels,Brussels,Ixelles,1050,HOUSE,HOUSE,830000.0,4.0,282.0,INSTALLED,False,,,,True,80.0,163,2,False,TO_BE_DONE_UP
18,https://www.immoweb.be/en/classified/house/for-sale/li%C3%A8ge/4031/10826704,Wallonie,Liège,Liège,4031,HOUSE,HOUSE,249000.0,1.0,95.0,INSTALLED,,-1.0,,,True,93.0,149,2,,JUST_RENOVATED
19,https://www.immoweb.be/en/classified/house/for-sale/bertem/3060/10825503,Flanders,Flemish Brabant,Bertem,3060,HOUSE,HOUSE,298000.0,4.0,112.0,SEMI_EQUIPPED,False,,True,24.0,True,272.0,450,4,False,TO_BE_DONE_UP
20,https://www.immoweb.be/en/classified/apartment-block/for-sale/malmedy/4960/10826180,Wallonie,Liège,Malmedy,4960,HOUSE,APARTMENT_BLOCK,299000.0,2.0,167.0,SEMI_EQUIPPED,False,,,,,,95,2,False,GOOD
21,https://www.immoweb.be/en/classified/new-real-estate-project-houses/for-sale/roms%C3%A9e/4624/10825893,Wallonie,Liège,Romsée,4624,HOUSE_GROUP,HOUSE_GROUP,,,,0,,,,,,,UNKNOWN,UNKNOWN,,UNKNOWN
22,https://www.immoweb.be/en/classified/house/for-sale/wezembeek-oppem/1970/10827696,Flanders,Flemish Brabant,Wezembeek-Oppem,1970,HOUSE,HOUSE,329000.0,3.0,80.0,INSTALLED,False,,True,14.0,True,60.0,170,3,False,TO_BE_DONE_UP
23,https://www.immoweb.be/en/classified/new-real-estate-project-houses/for-sale/geraardsbergen/9500/10825603,Flanders,East Flanders,Geraardsbergen,9500,HOUSE_GROUP,HOUSE_GROUP,,,,0,,,,,,,UNKNOWN,UNKNOWN,,UNKNOWN
24,https://www.immoweb.be/en/classified/new-real-estate-project-houses/for-sale/testelt/3272/10826574,Flanders,Flemish Brabant,Testelt,3272,HOUSE_GROUP,HOUSE_GROUP,,,,0,,,,,,,UNKNOWN,UNKNOWN,,UNKNOWN
25,https://www.immoweb.be/en/classified/house/for-sale/roosdaal/1760/10825693,Flanders,Flemish Brabant,Roosdaal,1760,HOUSE,HOUSE,360000.0,3.0,301.0,SEMI_EQUIPPED,,,True,,,,545,3,False,GOOD
